hour,rows,attacks,alerts,has_attack,is_alert_window
2021-12-24 13:00:00+00:00,5323,0,70,False,True
2021-12-24 14:00:00+00:00,5413,0,67,False,True
2021-12-24 15:00:00+00:00,5412,0,78,False,True
2021-12-24 16:00:00+00:00,5411,0,61,False,True
2021-12-24 17:00:00+00:00,5412,0,77,False,True
2021-12-24 18:00:00+00:00,5415,0,69,False,True
2021-12-24 19:00:00+00:00,5558,0,228,False,True
2021-12-24 20:00:00+00:00,5412,0,67,False,True
2021-12-24 21:00:00+00:00,5414,0,76,False,True
2021-12-24 22:00:00+00:00,5411,0,67,False,True
2021-12-24 23:00:00+00:00,5416,0,69,False,True
2021-12-25 00:00:00+00:00,5409,0,75,False,True
2021-12-25 01:00:00+00:00,5435,0,91,False,True
2021-12-25 02:00:00+00:00,5412,0,67,False,True
2021-12-25 03:00:00+00:00,5408,0,74,False,True
2021-12-25 04:00:00+00:00,5416,0,70,False,True
2021-12-25 05:00:00+00:00,5403,0,70,False,True
2021-12-25 06:00:00+00:00,5500,0,102,False,True
2021-12-25 07:00:00+00:00,5438,0,87,False,True
2021-12-25 08:00:00+00:00,5411,0,75,False,True
2021-12-25 09:00:00+00:00,5412,0,83,False,True
2021-12-25 10:00:00+00:00,5420,0,78,False,True
2021-12-25 11:00:00+00:00,5452,0,65,False,True
2021-12-25 12:00:00+00:00,5414,0,76,False,True
2021-12-25 13:00:00+00:00,5561,0,222,False,True
2021-12-25 14:00:00+00:00,5414,0,79,False,True
2021-12-25 15:00:00+00:00,5412,0,72,False,True
2021-12-25 16:00:00+00:00,5415,0,72,False,True
2021-12-25 17:00:00+00:00,5414,0,66,False,True
2021-12-25 18:00:00+00:00,5417,0,73,False,True
2021-12-25 19:00:00+00:00,5403,0,74,False,True
2021-12-25 20:00:00+00:00,5413,0,74,False,True
2021-12-25 21:00:00+00:00,5408,0,73,False,True
2021-12-25 22:00:00+00:00,5410,0,60,False,True
2021-12-25 23:00:00+00:00,5416,0,69,False,True
2021-12-26 00:00:00+00:00,5416,0,66,False,True
2021-12-26 01:00:00+00:00,5442,0,107,False,True
2021-12-26 02:00:00+00:00,5415,0,69,False,True
2021-12-26 03:00:00+00:00,5410,0,74,False,True
2021-12-26 04:00:00+00:00,5414,0,86,False,True
2021-12-26 05:00:00+00:00,5418,0,69,False,True
2021-12-26 06:00:00+00:00,5512,0,112,False,True
2021-12-26 07:00:00+00:00,5426,0,82,False,True
2021-12-26 08:00:00+00:00,5412,0,62,False,True
2021-12-26 09:00:00+00:00,5412,0,72,False,True
2021-12-26 10:00:00+00:00,5415,0,68,False,True
2021-12-26 11:00:00+00:00,5415,0,68,False,True
2021-12-26 12:00:00+00:00,5414,0,79,False,True
2021-12-26 13:00:00+00:00,5410,0,78,False,True
2021-12-26 14:00:00+00:00,5416,0,66,False,True
2021-12-26 15:00:00+00:00,5411,0,68,False,True
2021-12-26 16:00:00+00:00,5414,0,63,False,True
2021-12-26 17:00:00+00:00,5411,0,74,False,True
2021-12-26 18:00:00+00:00,5421,0,71,False,True
2021-12-26 19:00:00+00:00,5410,0,68,False,True
2021-12-26 20:00:00+00:00,5414,0,69,False,True
2021-12-26 21:00:00+00:00,5412,0,67,False,True
2021-12-26 22:00:00+00:00,5407,0,62,False,True
2021-12-26 23:00:00+00:00,5412,0,69,False,True
2021-12-27 00:00:00+00:00,5415,0,67,False,True
2021-12-27 01:00:00+00:00,5444,0,114,False,True
2021-12-27 02:00:00+00:00,5415,0,64,False,True
2021-12-27 03:00:00+00:00,5412,0,70,False,True
