run_name,alpha,eligible,rows,threshold,accuracy,precision,recall,f1,mcc,auroc,auprc,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,alerts,alerts_per_10000_events,mode,labels_used,selected
alpha0.000,0.0,True,9050126,10.727158482292174,0.7042614655309771,0.5053490073680186,0.9999981714158653,0.6714040327934103,0.539622989284266,0.7881118973643084,0.5053489167780272,0.4237750899731941,1.8285841346189011e-06,2734351,3639304,2676466,5,5410817,5978.720075278509,retrospective_recall_floor,True,False
alpha0.025,0.025,True,9050126,10.647707136533475,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9569445520518153,0.8348850973885726,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.050,0.05,True,9050126,10.568255790774776,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9569445517294562,0.8348850972357408,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.075,0.07500000000000001,True,9050126,10.488804445016077,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9569445515974321,0.834885097120904,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.100,0.1,True,9050126,10.409353099257379,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9569445503793352,0.8348850957013908,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.125,0.125,True,9050126,10.329901753498682,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.956940811027171,0.8348825569027168,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.150,0.15000000000000002,True,9050126,10.250450407739981,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9569259913355439,0.8348665893452184,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.175,0.17500000000000002,True,9050126,10.170999061981282,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9569052060199195,0.8348380936750528,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.200,0.2,True,9050126,10.091547716222586,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9569015569100473,0.8348328125185098,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.225,0.225,True,9050126,10.012096370463885,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9568975169957425,0.8348275532981599,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.250,0.25,True,9050126,9.932645024705186,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9568959640688343,0.834825333182116,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.275,0.275,True,9050126,9.853193678946488,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9568956870741104,0.8348249633366431,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,False
alpha0.300,0.30000000000000004,True,9050126,9.773742333187789,0.9389451594375592,0.8344260134089104,0.9954468255047989,0.9078518556072127,0.8702368180505999,0.9568952784537672,0.8348244743234247,0.0855167303432519,0.004553174495201063,2721906,5775666,540104,12450,3262010,3604.380756687807,retrospective_recall_floor,True,True
alpha0.325,0.325,True,9050126,9.694290987429092,0.9377051767014073,0.8315652541585808,0.9954468255047989,0.9061560146934178,0.8678891128806323,0.956895029445043,0.8348241562346197,0.08729355248845351,0.004553174495201063,2721906,5764444,551326,12450,3273232,3616.7805840493274,retrospective_recall_floor,True,False
alpha0.350,0.35000000000000003,True,9050126,9.614839641670391,0.9377030772831229,0.831560427232742,0.9954468255047989,0.9061531488328047,0.8678851462583127,0.9568947201093744,0.8348237588475423,0.08729656083106256,0.004553174495201063,2721906,5764425,551345,12450,3273251,3616.8015782321704,retrospective_recall_floor,True,False
alpha0.375,0.375,True,9050126,9.535388295911694,0.9356873042430569,0.8269515302169774,0.9954468255047989,0.9034098094044823,0.864089384502307,0.9568942941390273,0.834823343505483,0.09018504473722128,0.004553174495201063,2721906,5746182,569588,12450,3291494,3636.95930863283,retrospective_recall_floor,True,False
alpha0.400,0.4,True,9050126,9.455936950152996,0.9332885531096473,0.8215331206690324,0.9954468255047989,0.900166827640706,0.859605495816684,0.9568869906598564,0.8348182348677474,0.09362231366880047,0.004553174495201063,2721906,5724473,591297,12450,3313203,3660.9468199669263,retrospective_recall_floor,True,False
